CODE,Month,year,date,type,fraction
HMGW5DSX3_UDI247,August,2021,01/08/2021,water,3-200
HMGW5DSX3_UDI259,August,2021,01/08/2021,water,3-200
HMNJKDSX3_UDI221,August,2021,01/08/2021,water,0.2-3
HMNJKDSX3_UDI224,August,2021,01/08/2021,sediment,
HMNJKDSX3_UDI271,August,2021,01/08/2021,water,0.2-3
HCFCYDSX5_UDI139,December,2021,01/12/2021,sediment,
HCFCYDSX5_UDI141,December,2021,01/12/2021,sediment,
HVWGWDSX5_UDI098,December,2021,01/12/2021,water,3-200
HVWGWDSX5_UDI110,December,2021,01/12/2021,water,0.2-3
HVWGWDSX5_UDI117,December,2021,01/12/2021,water,3-200
HVWGWDSX5_UDI212,December,2021,01/12/2021,water,0.2-3
HMGW5DSX3_UDI199,July,2021,01/07/2021,water,3-200
HMGW5DSX3_UDI211,July,2021,01/07/2021,water,3-200
HMNJKDSX3_UDI223,July,2021,01/07/2021,water,0.2-3
HMNJKDSX3_UDI235,July,2021,01/07/2021,water,0.2-3
HMNJKDSX3_UDI248,July,2021,01/07/2021,sediment,
HMNJKDSX3_UDI260,July,2021,01/07/2021,sediment,
HCFCYDSX5_UDI124,October,2021,01/10/2021,sediment,
HCFCYDSX5_UDI138,October,2021,01/10/2021,sediment,
HVWGWDSX5_UDI145,October,2021,01/10/2021,water,3-200
HVWGWDSX5_UDI157,October,2021,01/10/2021,water,3-200
HVWGWDSX5_UDI169,October,2021,01/10/2021,water,0.2-3
HVWGWDSX5_UDI181,October,2021,01/10/2021,water,0.2-3
