,aphiaid,latitude,longitude,parameter,parameter_value
0,148985,51.47253758,3.05669317,WaterAbund (#/ml),0.1288817223
1,148985,51.47253758,3.05669317,WaterAbund (#/ml),0.1288817223
2,148985,51.47253758,3.05669317,WaterAbund (#/ml),0.1288817223
3,148969,51.7469759,2.70064017,WaterAbund (#/ml),0.00329218107
4,148969,51.7469759,2.70064017,WaterAbund (#/ml),0.00329218107
5,148969,51.7469759,2.70064017,WaterAbund (#/ml),0.00329218107
6,149132,51.7469759,2.70064017,WaterAbund (#/ml),0.00987654321
7,149132,51.7469759,2.70064017,WaterAbund (#/ml),0.00987654321
8,149132,51.7469759,2.70064017,WaterAbund (#/ml),0.00987654321
9,1322468,51.34042685,2.000097,WaterAbund (#/ml),0.000704567412
10,1322468,51.34042685,2.000097,WaterAbund (#/ml),0.000704567412
11,1322468,51.34042685,2.000097,WaterAbund (#/ml),0.000704567412
12,591192,51.61983137,2.7486275,WaterAbund (#/ml),0.004589432565
13,591192,51.61983137,2.7486275,WaterAbund (#/ml),0.004589432565
14,591192,51.61983137,2.7486275,WaterAbund (#/ml),0.004589432565
15,603098,51.7526605,2.7025673,WaterAbund (#/ml),0.000592912946
16,603098,51.7526605,2.7025673,WaterAbund (#/ml),0.000592912946
17,603098,51.7526605,2.7025673,WaterAbund (#/ml),0.000592912946
18,149023,51.185262,2.702515,WaterAbund (#/ml),30.76030879
19,149023,51.185262,2.702515,WaterAbund (#/ml),30.76030879
20,149023,51.185262,2.702515,WaterAbund (#/ml),30.76030879
21,149151,51.44021055,3.14109683,WaterAbund (#/ml),4.069148271
22,149151,51.44021055,3.14109683,WaterAbund (#/ml),4.069148271
23,149151,51.44021055,3.14109683,WaterAbund (#/ml),4.069148271
24,148899,51.26791458,2.89978283,WaterAbund (#/ml),11.14229092785
25,148899,51.26791458,2.89978283,WaterAbund (#/ml),11.14229092785
26,148899,51.26791458,2.89978283,WaterAbund (#/ml),11.14229092785
27,1322468,51.47099922,3.0570585,WaterAbund (#/ml),0.000683829897
28,1322468,51.47099922,3.0570585,WaterAbund (#/ml),0.000683829897
29,1322468,51.47099922,3.0570585,WaterAbund (#/ml),0.000683829897
30,11,51.44156923,3.13925733,WaterAbund (#/ml),0.002115064364
31,11,51.44156923,3.13925733,WaterAbund (#/ml),0.002115064364
32,11,51.44156923,3.13925733,WaterAbund (#/ml),0.002115064364
33,163292,51.30378057,2.84441017,WaterAbund (#/ml),0.002074618236
34,163292,51.30378057,2.84441017,WaterAbund (#/ml),0.002074618236
35,163292,51.30378057,2.84441017,WaterAbund (#/ml),0.002074618236
36,148985,51.37797218,3.22182567,WaterAbund (#/ml),0.401722417728
37,148985,51.37797218,3.22182567,WaterAbund (#/ml),0.401722417728
38,148985,51.37797218,3.22182567,WaterAbund (#/ml),0.401722417728
39,148985,51.4412563,3.138081,WaterAbund (#/ml),0.01236351545
40,148985,51.4412563,3.138081,WaterAbund (#/ml),0.01236351545
41,148985,51.4412563,3.138081,WaterAbund (#/ml),0.01236351545
