parameter,count
,26279149
Count (Dmnless),23327417
Instrument (Dmnless),19321413
SamplingMethod (Dmnless),10282750
Platform (Dmnless),8878782
Sampling_protocol,8627071
TransDist (m),8373585
SampArea (km^2),8366205
BeaufWinFor (Dmnless),8192726
LifeStage,8101654
Sex,7619463
WaterAbund (#/ml),6216863
HorVis_ESAS,6190581
VolWBodySamp (m^3),4416646
SACFORN_Abund,3323251
eunishabitats,3279779
sampling_instrument_name,3208444
AreaBedSamp (m^2),2224231
Samp_vol (l),2171167
BathyDep_ISL (m),2122450
UKMarHabClass15.03,2102734
BathyDepth_MSL (m),1982653
SubSamplingCoefficient (Dmnless),1897474
PropCover_BE007117 (%),1773708
BedAbund (#/m^2),1617890
Biovol_BE007117 (mm^3/m^3),1445007
LowSieveMesh (mm),1283909
Secchi (m),1189399
HorVis_visual (m),1179480
Sizeclass_HELCOM_COMBINE (um),1176764
WetWtBiom_BE004249 (mg/m^3),1046317
WindSpd (m/s),1032537
Mesh_size (um),969718
CarbPhyto (mg/m^3),966825
sampling_platform_name,892723
WaterWetWtBiom (mg/m^3),813288
BedWetWtBiom (g/m^2),760960
Sampling_method_description,736897
DryWeight (g),675371
SampTrkLen (m),675084
NetMesh (mm),557511
Mouth_area (m^2),518849
Temp (degC),495117
Duration (s),483725
TrophicSatus,450226
Mesh_size_sieve_lower (um),428157
POC (umol/l),404322
WetWt (g),390072
UKMarHabClass97.06,389956
analytical_instrument_name,386978
VisWaveHeight (m),367926
SerNum_INST,363309
Pore_size_samp_processor_upper_filter (um),363309
P_sal (Dmnless),359422
Turbidity (NTU),348393
WWBiom_Samp (kg),304793
WC_dissO2 (umol/l),292030
sampling_platform_type,260078
Biovolume (mm^3),257526
Length (mm),247553
SamplPreservation (Dmnless),247390
Std_length (mm),237276
TSG+Fl_Flow (l/min),232812
chl-a_water_model_fluor (mg/m^3),231903
Conc_CDOM_fluor (ppb),229908
WMOSeaState (Dmnless),226641
O2Sat (%),205970
Analytical_method_description,170922
PlatformSpd (m/s),165494
BedAshFreeBiom (g/m^2),162186
NavESBathyDep (m),161568
Biovolume_HELCOM_COMBINE (um^3/ml),157441
SubSamplingProtocol (Dmnless),147569
UKMarHabClass04.05,146185
mouth_width (cm),144462
Vol_filt_geom_dist_depth (l),132765
SizCat_BE007117,120475
DWBiom_Samp (kg),119068
Cond (S/m),113968
pH(total)_water_computed (pH units),113966
Sample_preservation_method_description,106521
Salinity (ppt),95356
mouth_height (cm),86468
BedDryWtBiom (g/m^2),80834
AbundCat,73350
MaxSeafloorDepth (m),70565
MinSeafloorDepth (m),66731
Cell_volume (cm^3),58664
Mesh_size_sieve_upper (um),58138
WMOHorVis (Dmnless),57432
WaterCarbonBiomassConv (mg/m^3),51559
Total_length (mm),49462
CntBrdPair (Dmnless),45422
MaxDepBelowSeaSurf (m),42058
PrSand (%),37817
Pore_size_samp_processor_lower_filter (um),37753
WetWtBiom_persamplingtime (#/h),35425
Silt (%),35384
Sediment_type,34712
Diameter_sample_collector_aperture (cm),33550
PrSed_WorV_Siz_0-63um (%),32279
PrSed_WorV_Siz_2000-4000um (%),29401
PrSed_WorV_Siz_1000-2000um (%),29401
Cellsliving_BE007117,27602
Fibres (#/l),27594
Detritus (#/l),27594
unidentified_biota (#/l),27594
PrSed_WorV_Siz_4000-8000um (%),27055
PrSed_WorV_Siz_8000-16000um (%),27046
SkewSedVis,26884
KurtSedVis,26884
PrSed_WorV_Siz_500-1000um (%),26884
PrClay (%),26568
MaxLen_BE007117 (mm),25995
Conc_Pb_sed<2um (mg/kg),24652
Conc_Cr_sed<2um (mg/kg),24652
Conc_Cu_sed<2um (mg/kg),24652
Conc_Zn_<2um_sed (mg/kg),24652
Conc_Cd_sed<2um (mg/kg),24652
Conc_Ni_sed<2um (mg/kg),24652
Track_duration (h),24125
CORG_CS_SEDTOT_D (%),22536
DepBelowSurf_start (m),21895
PresAbs_BE007117 (Dmnless),21549
P_sal_CTD (Dmnless),20445
AbundCatSACFOR,20157
GPS (m/s),19787
Platform_Heading_GPS (deg),19767
MinLen_BE007117 (mm),19694
WaterDryWtBiom_BE007117 (mg/m^3),19507
Sed_GrSizeMode_PS (um),19446
platform_class,19205
VSAM (m^3),19205
Vol2MassCTD2 (l/kg),18771
WC_dissO2_uncalib (umol/l),18771
WindDirFrom (deg T),18242
Abund_persamplingtime (#/h),18113
VisSwlHght (m),18064
Carapace_width (mm),17673
Cmpval (km),16860
WaterBiovolumeConv (um^3/ml),16832
WC_dissO2_optode (umol/l),15744
RelativeCover (%),15289
PO4_Unfilt_ColAA (umol/l),15076
NO3_Unfilt_NO2CorrColAA (umol/l),14870
SiOx_Unfilt_ColAA (umol/l),14830
chl-a_water>GF/F_FA_fluor (mg/m^3),13862
