period,lifeform,aphiaID,imaging_density,edna_density,difference,,,,,
2021-07,Diatom,148899,0.658,0.009,0.649,,,,,
2021-07,Diatom,149069,0.089,0.024,0.065,,,,,
2021-07,Diatom,149132,0.065,0.002,0.063,,,,,
2021-07,Diatom,148985,0.009,0.000,0.008,,,,,
2021-07,Diatom,149118,0.002,0.000,0.002,,,,,
2021-07,Diatom,148969,0.001,0.000,0.001,,,,,
2021-07,Diatom,345491,0.001,0.000,0.001,,,,,
2021-07,Diatom,447730,0.001,0.000,0.001,,,,,
2021-07,Diatom,591192,0.001,0.000,0.001,,,,,
2021-07,Diatom,149054,0.000,0.000,0.000,,,,,
2021-07,Diatom,162969,0.000,0.000,0.000,,,,,
2021-07,Diatom,149200,0.000,0.000,0.000,,,,,
2021-07,Diatom,149219,0.000,0.000,0.000,,,,,
2021-07,Diatom,149313,0.000,0.000,0.000,,,,,
2021-07,Diatom,148965,0.000,0.000,0.000,,,,,
2021-07,Diatom,149010,0.000,0.000,0.000,,,,,
2021-07,Diatom,149032,0.000,0.000,0.000,,,,,
2021-07,Diatom,149181,0.000,0.000,0.000,,,,,
2021-07,Diatom,148905,0.000,0.000,0.000,,,,,
2021-07,Diatom,172418,0.000,0.000,0.000,,,,,
2021-07,Diatom,149106,0.000,0.000,0.000,,,,,
2021-07,Diatom,149113,0.000,0.000,0.000,,,,,
2021-07,Diatom,148994,0.000,0.000,0.000,,,,,
2021-07,Diatom,149073,0.000,0.000,0.000,,,,,
2021-07,Diatom,175584,0.000,0.000,0.000,,,,,
2021-07,Diatom,149038,0.000,0.000,0.000,,,,,
2021-07,Diatom,148984,0.000,0.000,0.000,,,,,
2021-07,Diatom,149112,0.000,0.000,0.000,,,,,
2021-07,Diatom,149002,0.000,0.001,-0.001,,,,,
2021-07,Diatom,148912,0.000,0.001,-0.001,,,,,
2021-07,Diatom,148942,0.000,0.001,-0.001,,,,,
2021-07,Diatom,149015,0.000,0.001,-0.001,,,,,
2021-07,Diatom,148904,0.000,0.001,-0.001,,,,,
2021-07,Diatom,149001,0.000,0.001,-0.001,,,,,
2021-07,Diatom,149115,0.000,0.002,-0.002,,,,,
2021-07,Diatom,149165,0.000,0.003,-0.003,,,,,
2021-07,Diatom,149111,0.000,0.004,-0.004,,,,,
2021-07,Diatom,148903,0.000,0.005,-0.005,,,,,
2021-07,Diatom,149116,0.000,0.007,-0.007,,,,,
2021-07,Diatom,148900,0.000,0.010,-0.010,,,,,
2021-07,Diatom,149068,0.000,0.014,-0.014,,,,,
2021-07,Diatom,148898,0.000,0.020,-0.020,,,,,
2021-07,Dinoflagellate,840626,0.129,0.000,0.129,,,,,
2021-07,Dinoflagellate,109393,0.028,0.006,0.022,,,,,
2021-07,Dinoflagellate,494057,0.015,0.000,0.015,,,,,
2021-07,Dinoflagellate,146203,0.001,0.000,0.001,,,,,
2021-07,Dinoflagellate,109394,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109477,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,110229,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,604918,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109540,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,110303,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,148915,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109391,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109476,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109442,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109418,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109475,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,232716,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109467,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109396,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109500,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109410,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,231789,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109392,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,109566,0.000,0.000,0.000,,,,,
2021-07,Dinoflagellate,494056,0.000,0.001,-0.001,,,,,
2021-07,Dinoflagellate,109921,0.000,0.003,-0.003,,,,,
2021-07,Dinoflagellate,19542,0.000,0.010,-0.010,,,,,
2021-07,Other,146557,0.000,0.000,0.000,,,,,
2021-07,Other,824,0.000,0.000,0.000,,,,,
2021-07,Other,1101,0.000,0.000,0.000,,,,,
2021-07,Other,1104,0.000,0.000,0.000,,,,,
2021-07,Other,1130,0.000,0.000,0.000,,,,,
2021-07,Other,1131,0.000,0.000,0.000,,,,,
2021-07,Other,1248,0.000,0.000,0.000,,,,,
2021-07,Other,1371,0.000,0.000,0.000,,,,,
2021-07,Other,1795,0.000,0.000,0.000,,,,,
2021-07,Other,104501,0.000,0.000,0.000,,,,,
2021-07,Other,115086,0.000,0.000,0.000,,,,,
2021-07,Other,123080,0.000,0.000,0.000,,,,,
2021-07,Other,157256,0.000,0.000,0.000,,,,,
2021-07,Other,160581,0.000,0.000,0.000,,,,,
2021-07,Other,160583,0.000,0.000,0.000,,,,,
2021-07,Other,248103,0.000,0.000,0.000,,,,,
2021-07,Other,573884,0.000,0.000,0.000,,,,,
2021-07,Other,577493,0.000,0.000,0.000,,,,,
2021-07,Other,152391,0.000,0.000,0.000,,,,,
2021-07,Other,101,0.000,0.000,0.000,,,,,
2021-07,Other,1410,0.000,0.000,0.000,,,,,
2021-07,Other,105506,0.000,0.000,0.000,,,,,
2021-07,Other,106306,0.000,0.000,0.000,,,,,
2021-07,Other,115090,0.000,0.000,0.000,,,,,
2021-07,Other,117535,0.000,0.000,0.000,,,,,
2021-07,Other,160564,0.000,0.000,0.000,,,,,
2021-07,Other,249721,0.000,0.000,0.000,,,,,
2021-07,Other,292893,0.000,0.000,0.000,,,,,
2021-07,Other,341353,0.000,0.000,0.000,,,,,
2021-07,Other,1444150,0.000,0.000,0.000,,,,,
2021-07,Other,799,0.000,0.000,0.000,,,,,
2021-07,Other,1606,0.000,0.000,0.000,,,,,
2021-07,Other,17793,0.000,0.000,0.000,,,,,
2021-07,Other,19948,0.000,0.000,0.000,,,,,
2021-07,Other,105541,0.000,0.000,0.000,,,,,
2021-07,Other,106285,0.000,0.000,0.000,,,,,
2021-07,Other,115351,0.000,0.000,0.000,,,,,
2021-07,Other,117982,0.000,0.000,0.000,,,,,
2021-07,Other,177588,0.000,0.000,0.000,,,,,
2021-07,Other,882,0.000,0.000,0.000,,,,,
2021-07,Other,1071,0.000,0.000,0.000,,,,,
2021-07,Other,13552,0.000,0.000,0.000,,,,,
2021-07,Other,17651,0.000,0.000,0.000,,,,,
2021-07,Other,101198,0.000,0.000,0.000,,,,,
2021-07,Other,104685,0.000,0.000,0.000,,,,,
2021-07,Other,115061,0.000,0.000,0.000,,,,,
2021-07,Other,115088,0.000,0.000,0.000,,,,,
2021-07,Other,129437,0.000,0.000,0.000,,,,,
2021-07,Other,135301,0.000,0.000,0.000,,,,,
2021-07,Other,148370,0.000,0.000,0.000,,,,,
2021-07,Other,601293,0.000,0.000,0.000,,,,,
2021-07,Other,1102,0.000,0.000,0.000,,,,,
2021-07,Other,101195,0.000,0.000,0.000,,,,,
2021-07,Other,106033,0.000,0.000,0.000,,,,,
2021-07,Other,17639,0.000,0.000,0.000,,,,,
2021-07,Other,913,0.000,0.000,0.000,,,,,
2021-07,Other,22556,0.000,0.000,0.000,,,,,
2021-07,Other,104499,0.000,0.000,0.000,,,,,
2021-07,Other,146142,0.000,0.000,0.000,,,,,
2021-07,Other,146232,0.000,0.000,0.000,,,,,
2021-07,Other,11,0.000,0.000,0.000,,,,,
2021-07,Other,118051,0.000,0.000,0.000,,,,,
2021-07,Other,1069,0.000,0.000,0.000,,,,,
2021-07,Other,115060,0.000,0.000,0.000,,,,,
2021-07,Other,128545,0.000,0.000,0.000,,,,,
2021-07,Other,883,0.000,0.000,0.000,,,,,
2021-07,Other,732333,0.000,0.000,0.000,,,,,
2021-07,Other,177482,0.000,0.000,0.000,,,,,
2021-07,Other,51,0.000,0.000,0.000,,,,,
2021-07,Other,119077,0.000,0.000,0.000,,,,,
2021-07,Other,118075,0.000,0.000,0.000,,,,,
2021-07,Other,120566,0.000,0.000,0.000,,,,,
2021-07,Other,17640,0.000,0.000,0.000,,,,,
2021-07,Other,104196,0.000,0.000,0.000,,,,,
2021-07,Other,110722,0.000,0.000,0.000,,,,,
2021-07,Other,146230,0.000,0.000,0.000,,,,,
2021-07,Other,160575,0.000,0.000,0.000,,,,,
2021-07,Other,1135,0.000,0.000,0.000,,,,,
2021-07,Other,802,0.000,0.000,0.000,,,,,
2021-07,Other,118028,0.000,0.000,0.000,,,,,
2021-07,Other,1789,0.000,0.000,0.000,,,,,
2021-07,Other,115104,0.000,0.000,0.000,,,,,
2021-07,Other,135263,0.000,0.000,0.000,,,,,
2021-07,Other,104159,0.000,0.001,-0.001,,,,,
2021-07,Other,369190,0.000,0.001,-0.001,,,,,
2021-07,Other,104152,0.000,0.001,-0.001,,,,,
2021-07,Other,104241,0.000,0.001,-0.001,,,,,
2021-07,Other,146549,0.000,0.001,-0.001,,,,,
2021-07,Other,1806,0.000,0.001,-0.001,,,,,
2021-07,Other,13551,0.000,0.001,-0.001,,,,,
2021-07,Other,160597,0.000,0.001,-0.001,,,,,
2021-07,Other,118014,0.000,0.001,-0.001,,,,,
2021-07,Other,118011,0.000,0.001,-0.001,,,,,
2021-07,Other,104240,0.000,0.001,-0.001,,,,,
2021-07,Other,1337,0.000,0.001,-0.001,,,,,
2021-07,Other,105,0.000,0.001,-0.001,,,,,
2021-07,Other,135259,0.000,0.002,-0.002,,,,,
2021-07,Other,1292,0.000,0.002,-0.002,,,,,
2021-07,Other,160572,0.000,0.002,-0.002,,,,,
2021-07,Other,1065,0.000,0.002,-0.002,,,,,
2021-07,Other,104872,0.000,0.003,-0.003,,,,,
2021-07,Other,801,0.000,0.003,-0.003,,,,,
2021-07,Other,146606,0.000,0.003,-0.003,,,,,
2021-07,Other,123082,0.000,0.003,-0.003,,,,,
2021-07,Other,146624,0.000,0.004,-0.004,,,,,
2021-07,Other,1100,0.000,0.006,-0.006,,,,,
2021-07,Other,146543,0.000,0.006,-0.006,,,,,
2021-07,Other,416523,0.000,0.007,-0.007,,,,,
2021-07,Other,1267,0.000,0.007,-0.007,,,,,
2021-07,Other,135220,0.000,0.011,-0.011,,,,,
2021-07,Other,1486573,0.000,0.020,-0.020,,,,,
2021-07,Other,146603,0.000,0.042,-0.042,,,,,
2021-07,Other,146537,0.000,0.338,-0.338,,,,,
2021-07,Undefined,119095,0.000,0.000,0.000,,,,,
2021-07,Undefined,146178,0.000,0.000,0.000,,,,,
2021-07,Undefined,345496,0.000,0.000,0.000,,,,,
2021-07,Undefined,559,0.000,0.000,0.000,,,,,
2021-07,Undefined,900,0.000,0.000,0.000,,,,,
2021-07,Undefined,1328,0.000,0.000,0.000,,,,,
2021-07,Undefined,1363,0.000,0.000,0.000,,,,,
2021-07,Undefined,1703,0.000,0.000,0.000,,,,,
2021-07,Undefined,17641,0.000,0.000,0.000,,,,,
2021-07,Undefined,17904,0.000,0.000,0.000,,,,,
2021-07,Undefined,100653,0.000,0.000,0.000,,,,,
2021-07,Undefined,100656,0.000,0.000,0.000,,,,,
2021-07,Undefined,101389,0.000,0.000,0.000,,,,,
2021-07,Undefined,105498,0.000,0.000,0.000,,,,,
2021-07,Undefined,105529,0.000,0.000,0.000,,,,,
2021-07,Undefined,105684,0.000,0.000,0.000,,,,,
2021-07,Undefined,109448,0.000,0.000,0.000,,,,,
2021-07,Undefined,115072,0.000,0.000,0.000,,,,,
2021-07,Undefined,120240,0.000,0.000,0.000,,,,,
2021-07,Undefined,120256,0.000,0.000,0.000,,,,,
2021-07,Undefined,122382,0.000,0.000,0.000,,,,,
2021-07,Undefined,123095,0.000,0.000,0.000,,,,,
2021-07,Undefined,123100,0.000,0.000,0.000,,,,,
2021-07,Undefined,123390,0.000,0.000,0.000,,,,,
2021-07,Undefined,125281,0.000,0.000,0.000,,,,,
2021-07,Undefined,131051,0.000,0.000,0.000,,,,,
2021-07,Undefined,131135,0.000,0.000,0.000,,,,,
2021-07,Undefined,131591,0.000,0.000,0.000,,,,,
2021-07,Undefined,131598,0.000,0.000,0.000,,,,,
2021-07,Undefined,136779,0.000,0.000,0.000,,,,,
2021-07,Undefined,138094,0.000,0.000,0.000,,,,,
2021-07,Undefined,138332,0.000,0.000,0.000,,,,,
2021-07,Undefined,138531,0.000,0.000,0.000,,,,,
2021-07,Undefined,140301,0.000,0.000,0.000,,,,,
2021-07,Undefined,141424,0.000,0.000,0.000,,,,,
2021-07,Undefined,142052,0.000,0.000,0.000,,,,,
2021-07,Undefined,142053,0.000,0.000,0.000,,,,,
2021-07,Undefined,143678,0.000,0.000,0.000,,,,,
2021-07,Undefined,146629,0.000,0.000,0.000,,,,,
2021-07,Undefined,146664,0.000,0.000,0.000,,,,,
2021-07,Undefined,146690,0.000,0.000,0.000,,,,,
2021-07,Undefined,146994,0.000,0.000,0.000,,,,,
2021-07,Undefined,151155,0.000,0.000,0.000,,,,,
2021-07,Undefined,164811,0.000,0.000,0.000,,,,,
2021-07,Undefined,178464,0.000,0.000,0.000,,,,,
2021-07,Undefined,178852,0.000,0.000,0.000,,,,,
2021-07,Undefined,232245,0.000,0.000,0.000,,,,,
2021-07,Undefined,233123,0.000,0.000,0.000,,,,,
2021-07,Undefined,234499,0.000,0.000,0.000,,,,,
2021-07,Undefined,240747,0.000,0.000,0.000,,,,,
2021-07,Undefined,246597,0.000,0.000,0.000,,,,,
2021-07,Undefined,330923,0.000,0.000,0.000,,,,,
2021-07,Undefined,341320,0.000,0.000,0.000,,,,,
2021-07,Undefined,341339,0.000,0.000,0.000,,,,,
2021-07,Undefined,345508,0.000,0.000,0.000,,,,,
2021-07,Undefined,345522,0.000,0.000,0.000,,,,,
2021-07,Undefined,368677,0.000,0.000,0.000,,,,,
2021-07,Undefined,368680,0.000,0.000,0.000,,,,,
2021-07,Undefined,368883,0.000,0.000,0.000,,,,,
2021-07,Undefined,369377,0.000,0.000,0.000,,,,,
2021-07,Undefined,369536,0.000,0.000,0.000,,,,,
2021-07,Undefined,370179,0.000,0.000,0.000,,,,,
2021-07,Undefined,375881,0.000,0.000,0.000,,,,,
2021-07,Undefined,393226,0.000,0.000,0.000,,,,,
2021-07,Undefined,394974,0.000,0.000,0.000,,,,,
2021-07,Undefined,415247,0.000,0.000,0.000,,,,,
2021-07,Undefined,489103,0.000,0.000,0.000,,,,,
2021-07,Undefined,562837,0.000,0.000,0.000,,,,,
2021-07,Undefined,577669,0.000,0.000,0.000,,,,,
2021-07,Undefined,590566,0.000,0.000,0.000,,,,,
2021-07,Undefined,593144,0.000,0.000,0.000,,,,,
2021-07,Undefined,593145,0.000,0.000,0.000,,,,,
2021-07,Undefined,593689,0.000,0.000,0.000,,,,,
2021-07,Undefined,600913,0.000,0.000,0.000,,,,,
2021-07,Undefined,602841,0.000,0.000,0.000,,,,,
2021-07,Undefined,603281,0.000,0.000,0.000,,,,,
2021-07,Undefined,608215,0.000,0.000,0.000,,,,,
2021-07,Undefined,707585,0.000,0.000,0.000,,,,,
2021-07,Undefined,731848,0.000,0.000,0.000,,,,,
2021-07,Undefined,836638,0.000,0.000,0.000,,,,,
2021-07,Undefined,872089,0.000,0.000,0.000,,,,,
2021-07,Undefined,886441,0.000,0.000,0.000,,,,,
2021-07,Undefined,886443,0.000,0.000,0.000,,,,,
2021-07,Undefined,989492,0.000,0.000,0.000,,,,,
2021-07,Undefined,990780,0.000,0.000,0.000,,,,,
2021-07,Undefined,993876,0.000,0.000,0.000,,,,,
2021-07,Undefined,1293730,0.000,0.000,0.000,,,,,
2021-07,Undefined,1490136,0.000,0.000,0.000,,,,,
2021-07,Undefined,1491074,0.000,0.000,0.000,,,,,
2021-07,Undefined,1535025,0.000,0.000,0.000,,,,,
2021-07,Undefined,1736253,0.000,0.000,0.000,,,,,
2021-07,Undefined,1736973,0.000,0.000,0.000,,,,,
2021-07,Undefined,1737154,0.000,0.000,0.000,,,,,
2021-07,Undefined,1845324,0.000,0.000,0.000,,,,,
2021-07,Undefined,852,0.000,0.000,0.000,,,,,
2021-07,Undefined,889,0.000,0.000,0.000,,,,,
2021-07,Undefined,17663,0.000,0.000,0.000,,,,,
2021-07,Undefined,101194,0.000,0.000,0.000,,,,,
2021-07,Undefined,101212,0.000,0.000,0.000,,,,,
2021-07,Undefined,118022,0.000,0.000,0.000,,,,,
2021-07,Undefined,118085,0.000,0.000,0.000,,,,,
2021-07,Undefined,131599,0.000,0.000,0.000,,,,,
2021-07,Undefined,138341,0.000,0.000,0.000,,,,,
2021-07,Undefined,141641,0.000,0.000,0.000,,,,,
2021-07,Undefined,143947,0.000,0.000,0.000,,,,,
2021-07,Undefined,146200,0.000,0.000,0.000,,,,,
2021-07,Undefined,148372,0.000,0.000,0.000,,,,,
2021-07,Undefined,149064,0.000,0.000,0.000,,,,,
2021-07,Undefined,149389,0.000,0.000,0.000,,,,,
2021-07,Undefined,162949,0.000,0.000,0.000,,,,,
2021-07,Undefined,178599,0.000,0.000,0.000,,,,,
2021-07,Undefined,196347,0.000,0.000,0.000,,,,,
2021-07,Undefined,231814,0.000,0.000,0.000,,,,,
2021-07,Undefined,234024,0.000,0.000,0.000,,,,,
2021-07,Undefined,234099,0.000,0.000,0.000,,,,,
2021-07,Undefined,248107,0.000,0.000,0.000,,,,,
2021-07,Undefined,265044,0.000,0.000,0.000,,,,,
2021-07,Undefined,292892,0.000,0.000,0.000,,,,,
2021-07,Undefined,345489,0.000,0.000,0.000,,,,,
2021-07,Undefined,348013,0.000,0.000,0.000,,,,,
2021-07,Undefined,368670,0.000,0.000,0.000,,,,,
2021-07,Undefined,368685,0.000,0.000,0.000,,,,,
2021-07,Undefined,368706,0.000,0.000,0.000,,,,,
2021-07,Undefined,368876,0.000,0.000,0.000,,,,,
2021-07,Undefined,370098,0.000,0.000,0.000,,,,,
2021-07,Undefined,394981,0.000,0.000,0.000,,,,,
2021-07,Undefined,426042,0.000,0.000,0.000,,,,,
2021-07,Undefined,494187,0.000,0.000,0.000,,,,,
2021-07,Undefined,547449,0.000,0.000,0.000,,,,,
2021-07,Undefined,562788,0.000,0.000,0.000,,,,,
2021-07,Undefined,573354,0.000,0.000,0.000,,,,,
2021-07,Undefined,591219,0.000,0.000,0.000,,,,,
2021-07,Undefined,606122,0.000,0.000,0.000,,,,,
2021-07,Undefined,1308659,0.000,0.000,0.000,,,,,
2021-07,Undefined,1490166,0.000,0.000,0.000,,,,,
2021-07,Undefined,1492531,0.000,0.000,0.000,,,,,
2021-07,Undefined,1635533,0.000,0.000,0.000,,,,,
2021-07,Undefined,1661048,0.000,0.000,0.000,,,,,
2021-07,Undefined,1782467,0.000,0.000,0.000,,,,,
2021-07,Undefined,845,0.000,0.000,0.000,,,,,
2021-07,Undefined,901,0.000,0.000,0.000,,,,,
2021-07,Undefined,988,0.000,0.000,0.000,,,,,
2021-07,Undefined,1251,0.000,0.000,0.000,,,,,
2021-07,Undefined,2138,0.000,0.000,0.000,,,,,
2021-07,Undefined,2143,0.000,0.000,0.000,,,,,
2021-07,Undefined,2851,0.000,0.000,0.000,,,,,
2021-07,Undefined,17903,0.000,0.000,0.000,,,,,
2021-07,Undefined,101679,0.000,0.000,0.000,,,,,
2021-07,Undefined,104913,0.000,0.000,0.000,,,,,
2021-07,Undefined,118084,0.000,0.000,0.000,,,,,
2021-07,Undefined,127503,0.000,0.000,0.000,,,,,
2021-07,Undefined,131593,0.000,0.000,0.000,,,,,
2021-07,Undefined,134937,0.000,0.000,0.000,,,,,
2021-07,Undefined,135239,0.000,0.000,0.000,,,,,
2021-07,Undefined,136745,0.000,0.000,0.000,,,,,
2021-07,Undefined,138474,0.000,0.000,0.000,,,,,
2021-07,Undefined,140767,0.000,0.000,0.000,,,,,
2021-07,Undefined,143771,0.000,0.000,0.000,,,,,
2021-07,Undefined,146608,0.000,0.000,0.000,,,,,
2021-07,Undefined,146639,0.000,0.000,0.000,,,,,
2021-07,Undefined,157664,0.000,0.000,0.000,,,,,
2021-07,Undefined,206594,0.000,0.000,0.000,,,,,
2021-07,Undefined,345501,0.000,0.000,0.000,,,,,
2021-07,Undefined,387397,0.000,0.000,0.000,,,,,
2021-07,Undefined,390772,0.000,0.000,0.000,,,,,
2021-07,Undefined,394012,0.000,0.000,0.000,,,,,
2021-07,Undefined,394964,0.000,0.000,0.000,,,,,
2021-07,Undefined,414225,0.000,0.000,0.000,,,,,
2021-07,Undefined,425754,0.000,0.000,0.000,,,,,
2021-07,Undefined,591248,0.000,0.000,0.000,,,,,
2021-07,Undefined,623449,0.000,0.000,0.000,,,,,
2021-07,Undefined,707630,0.000,0.000,0.000,,,,,
2021-07,Undefined,761390,0.000,0.000,0.000,,,,,
2021-07,Undefined,888636,0.000,0.000,0.000,,,,,
2021-07,Undefined,1640666,0.000,0.000,0.000,,,,,
2021-07,Undefined,1653567,0.000,0.000,0.000,,,,,
2021-07,Undefined,1731732,0.000,0.000,0.000,,,,,
2021-07,Undefined,230,0.000,0.000,0.000,,,,,
2021-07,Undefined,820,0.000,0.000,0.000,,,,,
2021-07,Undefined,129625,0.000,0.000,0.000,,,,,
2021-07,Undefined,135240,0.000,0.000,0.000,,,,,
2021-07,Undefined,135241,0.000,0.000,0.000,,,,,
2021-07,Undefined,142210,0.000,0.000,0.000,,,,,
2021-07,Undefined,182702,0.000,0.000,0.000,,,,,
2021-07,Undefined,232248,0.000,0.000,0.000,,,,,
2021-07,Undefined,414691,0.000,0.000,0.000,,,,,
2021-07,Undefined,479175,0.000,0.000,0.000,,,,,
2021-07,Undefined,563357,0.000,0.000,0.000,,,,,
2021-07,Undefined,577659,0.000,0.000,0.000,,,,,
2021-07,Undefined,581514,0.000,0.000,0.000,,,,,
2021-07,Undefined,582464,0.000,0.000,0.000,,,,,
2021-07,Undefined,591137,0.000,0.000,0.000,,,,,
2021-07,Undefined,872070,0.000,0.000,0.000,,,,,
2021-07,Undefined,1486549,0.000,0.000,0.000,,,,,
2021-07,Undefined,1736974,0.000,0.000,0.000,,,,,
2021-07,Undefined,2853,0.000,0.000,0.000,,,,,
2021-07,Undefined,22565,0.000,0.000,0.000,,,,,
2021-07,Undefined,22613,0.000,0.000,0.000,,,,,
2021-07,Undefined,117092,0.000,0.000,0.000,,,,,
2021-07,Undefined,142793,0.000,0.000,0.000,,,,,
2021-07,Undefined,146665,0.000,0.000,0.000,,,,,
2021-07,Undefined,156961,0.000,0.000,0.000,,,,,
2021-07,Undefined,175582,0.000,0.000,0.000,,,,,
2021-07,Undefined,216498,0.000,0.000,0.000,,,,,
2021-07,Undefined,235815,0.000,0.000,0.000,,,,,
2021-07,Undefined,292895,0.000,0.000,0.000,,,,,
2021-07,Undefined,345515,0.000,0.000,0.000,,,,,
2021-07,Undefined,368882,0.000,0.000,0.000,,,,,
2021-07,Undefined,414688,0.000,0.000,0.000,,,,,
2021-07,Undefined,493882,0.000,0.000,0.000,,,,,
2021-07,Undefined,582176,0.000,0.000,0.000,,,,,
2021-07,Undefined,591176,0.000,0.000,0.000,,,,,
2021-07,Undefined,730531,0.000,0.000,0.000,,,,,
2021-07,Undefined,730533,0.000,0.000,0.000,,,,,
2021-07,Undefined,730535,0.000,0.000,0.000,,,,,
2021-07,Undefined,886455,0.000,0.000,0.000,,,,,
2021-07,Undefined,993874,0.000,0.000,0.000,,,,,
2021-07,Undefined,1300,0.000,0.000,0.000,,,,,
2021-07,Undefined,109399,0.000,0.000,0.000,,,,,
2021-07,Undefined,118045,0.000,0.000,0.000,,,,,
2021-07,Undefined,148983,0.000,0.000,0.000,,,,,
2021-07,Undefined,382434,0.000,0.000,0.000,,,,,
2021-07,Undefined,413963,0.000,0.000,0.000,,,,,
2021-07,Undefined,414889,0.000,0.000,0.000,,,,,
2021-07,Undefined,426331,0.000,0.000,0.000,,,,,
2021-07,Undefined,537231,0.000,0.000,0.000,,,,,
2021-07,Undefined,582197,0.000,0.000,0.000,,,,,
2021-07,Undefined,582219,0.000,0.000,0.000,,,,,
2021-07,Undefined,837989,0.000,0.000,0.000,,,,,
