duppl,AphiaID,Taxon,PhytoplanktonType
,1,Biota,
FALSE,2,Animalia,
TRUE,2,Animalia_Radiolaria,Protozoa
FALSE,3,Plantae,Phytoplankton
FALSE,5,Protozoa,
FALSE,7,Chromista,Phytoplankton
FALSE,11,Ciliophora,
FALSE,12,Biota incertae sedis,
FALSE,25,Choanoflagellida,
FALSE,51,Mollusca,
FALSE,101,Gastropoda larva,
FALSE,105,Bivalvia,
FALSE,143,Velutinidae ,
FALSE,164,Gymnosomata,
FALSE,793,Platyhelminthes,
FALSE,799,Parasitic Nematoda,
FALSE,801,Chlorophyta,Chlorophyte
FALSE,802,Chlorophyceae,Chlorophyte
FALSE,824,Ulotrichales,Chlorophyte
FALSE,882,Annelida,
FALSE,883,Polychaeta,
FALSE,913,Spionidae,
FALSE,914,Magelonidae,
FALSE,922,Arenicolidae,
FALSE,939,Polynoidae,
FALSE,948,Syllidae,
FALSE,958,Tomopteridae,
FALSE,975,Oweniidae,
FALSE,979,Sabellariidae,
FALSE,1065,Arthropoda,
FALSE,1066,Crustacea,
FALSE,1069,Branchiopoda,
FALSE,1071,Malacostraca,
FALSE,1076,Cladocera,
FALSE,1078,Ostracoda,
FALSE,1080,Copepoda C1-6,
FALSE,1082,Cirripede cyprid,
TRUE,1082,Cirripede larvae,
TRUE,1082,Cirripede nauplii,
TRUE,1082,Cirripedia,
FALSE,1100,Calanoida C1-6,
FALSE,1101,Cyclopoida,
FALSE,1102,Harpacticoida,
FALSE,1103,Poecilostomatoida,
FALSE,1104,Siphonostomatoida,
FALSE,1106,Monstrilloida,
FALSE,1128,Euphausiacea Total,
FALSE,1130,Decapoda larvae,
FALSE,1131,Isopoda,
FALSE,1135,Amphipoda,
FALSE,1137,Cumacea,
FALSE,1195,Bopyridae,
FALSE,1205,Hyperiidea,
FALSE,1207,Gammaridea,
FALSE,1248,Ctenophora,
FALSE,1249,Tentaculata,
FALSE,1267,Cnidaria,
FALSE,1268,Sipuncula,
FALSE,1271,Entoprocta,
FALSE,1292,Anthozoa,
FALSE,1302,Pycnogonida,
FALSE,1337,Medusae,
FALSE,1358,Pantopoda,
FALSE,1361,Ceriantharia,
FALSE,1371,Siphonophora,
FALSE,1410,Foraminifera,
FALSE,1484,Halacaridae,
FALSE,1594,Bougainvilliidae,
FALSE,1606,Campanulariidae,
FALSE,1789,Phoronida larva,
FALSE,1795,Gymnolaemata,
FALSE,1806,Echinodermata,
FALSE,1818,Hemichordata larva,
FALSE,1820,Enteropneusta,
FALSE,1824,Cephalochordata,
FALSE,1839,Ascidiacea larva,
FALSE,2036,Oligochaeta,
FALSE,2081,Chaetognatha,
FALSE,2824,Mysidacea,
FALSE,5953,Sagittidae juvenile,
FALSE,8012,Euglena,
FALSE,10194,Actinopterygii,
FALSE,10313,Gadiformes larva,
FALSE,11676,Fish larvae,
FALSE,11707,Cephalopoda larvae,
FALSE,13551,Anthoathecata,
FALSE,13552,Leptothecata,
FALSE,13703,Thecosomata,
FALSE,13795,Epicaridea,
FALSE,14260,Rotifera,
FALSE,14355,Stomatopoda,
FALSE,15029,Pandeidae,
FALSE,15177,Spadellidae,
FALSE,16350,Trachymedusae,
FALSE,17111,Chlorococcales,Chlorophyte
FALSE,17329,Prasinophyceae,Chlorophyte
FALSE,17446,Larvacea,
FALSE,17638,Cryptophyta,Cryptophyte
FALSE,17639,Cryptophyceae,Cryptophyte
FALSE,17640,Cryptomonadales,Cryptophyte
FALSE,17644,Cryptomonadaceae,Cryptophyte
FALSE,17651,Leucocryptos,Cryptophyte
FALSE,17655,Eutreptiaceae,
FALSE,17657,Eutreptiella,
FALSE,17666,Chlorodendrales,
FALSE,17793,Xanthophyceae,Xanthophyte
FALSE,18526,Volvocales,Chlorophyte
FALSE,19494,Hydroidolina,
FALSE,19539,Euglenophyceae,
FALSE,19542,Dinophyceae,Dinoflagellate
TRUE,19542,Dinophyceae,Dinoflagellate
TRUE,19542,Dinophyceae,Dinoflagellate
FALSE,19948,Trematoda,
FALSE,21000,Euglenales,
FALSE,21001,Euglenaceae,
FALSE,22528,Foraminiferida,
FALSE,22556,Bodonidae,Protozoa
FALSE,22626,Thaliacea,
FALSE,22754,Trachylinae,
FALSE,22755,Actinulida,
FALSE,22990,Atlantidae,
FALSE,23020,Euthecosomata,
FALSE,100145,Halosphaeria,Chlorophyte
FALSE,100678,Metridiidae,
FALSE,100684,Cerianthidae,
FALSE,100782,Cerianthus spp.,
FALSE,101179,Leegaardiella,
FALSE,101180,Lohmanniella,
FALSE,101185,Strobilidium,
FALSE,101190,Laboea,
FALSE,101195,Strombidium,
FALSE,101196,Tontonia,
FALSE,101198,Strombidinopsis,
FALSE,101206,Leegaardiella ovalis,
FALSE,101207,Leegaardiella sol,
FALSE,101209,Lohmanniella oviformis,
FALSE,101236,Strobilidium spiralis,
FALSE,101264,Laboea strobila,
FALSE,101273,Spirostrombidium sauerbreyae,Ciliate
FALSE,101289,Strombidium conicum,Ciliate
FALSE,101325,Strombidium reticulatum,Ciliate
FALSE,101342,Strombidium vestitum,
FALSE,101361,Caprellidae,
FALSE,101383,Gammaridae,
FALSE,101417,Hyperiidae,
FALSE,101430,Caprella,
FALSE,101796,Hyperia,
FALSE,101800,Themisto,
FALSE,101839,Caprella linearis,
FALSE,103251,Hyperia galba,
FALSE,103256,Hyperoche medusarum,
FALSE,103357,Appendicularia,
FALSE,103358,Fritillaria,
FALSE,103367,Oikopleura,
FALSE,103375,Fritillaria borealis,
FALSE,103407,Oikopleura (Vexillaria) dioica,
FALSE,103483,Ascidia,
FALSE,103987,Bicosoeca,Chrysophyte
FALSE,103989,Cafeteria,Protozoa
FALSE,103990,Pseudobodo,Protozoa
FALSE,104002,Bicosoeca petiolata,Chrysophyte
FALSE,104003,Bicosoeca planctonica,Chrysophyte
FALSE,104015,Pseudobodo tremulans,Protozoa
FALSE,104075,Aetideidae,
FALSE,104082,Clausocalanidae,
FALSE,104085,Eucalanidae,
FALSE,104086,Euchaetidae,
FALSE,104092,Metridinidae,
FALSE,104097,Pontellidae,
FALSE,104103,Scolecitrichidae C1-5,
FALSE,104108,Acartia,
FALSE,104111,Aetideopsis,
FALSE,104112,Aetideus spp,
FALSE,104115,Bradyidius,
FALSE,104120,Euchirella,
FALSE,104121,Gaetanus,
FALSE,104128,Undeuchaeta,
FALSE,104137,Augaptilus,
FALSE,104152,Calanus I-IV,
FALSE,104155,Neocalanus spp.,
FALSE,104157,Candacia,
FALSE,104159,Centropages,
FALSE,104161,Clausocalanus,
FALSE,104162,Ctenocalanus,
FALSE,104164,Microcalanus,
FALSE,104165,Pseudocalanus,
FALSE,104167,Diaixis,
FALSE,104171,Eucalanus,
FALSE,104172,Rhincalanus,
FALSE,104173,Subeucalanus,
FALSE,104174,Euchaeta,
FALSE,104175,Pareuchaeta,
FALSE,104178,Heterorhabdus,
FALSE,104183,Lucicutia,
FALSE,104190,Metridia (V-VI),
FALSE,104191,Pleuromamma,
FALSE,104193,Calocalanus,
FALSE,104196,Paracalanus,
FALSE,104204,Xanthocalanus,
FALSE,104206,Anomalocera,
FALSE,104208,Labidocera,
FALSE,104221,Amallothrix,
FALSE,104225,Lophothrix,
FALSE,104228,Scaphocalanus,
FALSE,104229,Scolecithricella,
FALSE,104230,Scolecithrix,
FALSE,104240,Eurytemora,
FALSE,104241,Temora,
FALSE,104249,Acartia bifilosa,
FALSE,104251,Acartia clausi,
FALSE,104253,Acartia discaudata,
FALSE,104257,Acartia longiremis ,
FALSE,104262,Acartia tonsa,
FALSE,104275,Aetideus armatus,
FALSE,104276,Aetideus giesbrechti,
FALSE,104296,Euchirella amoena,
FALSE,104299,Euchirella curticauda,
FALSE,104300,Euchirella maxima,
FALSE,104301,Euchirella messinensis,
FALSE,104302,Euchirella pulchra,
FALSE,104303,Euchirella rostrata,
FALSE,104312,Gaetanus minor,
FALSE,104342,Undeuchaeta major,
FALSE,104343,Undeuchaeta plumosa,
FALSE,104359,Paramisophria cluthae,
FALSE,104422,Haloptilus acutifrons,
FALSE,104431,Haloptilus longicornis,
FALSE,104437,Haloptilus spiniceps,
FALSE,104462,Calanoides carinatus,
FALSE,104464,Calanus finmarchicus,
FALSE,104465,Calanus glacialis,
FALSE,104466,Calanus helgolandicus,
FALSE,104467,Calanus hyperboreus,
FALSE,104468,Mesocalanus tenuicornis,
FALSE,104469,Nannocalanus minor,
FALSE,104471,Neocalanus gracilis,
FALSE,104472,Neocalanus robustior,
FALSE,104474,Candacia armata,
FALSE,104475,Candacia bipinnata,
FALSE,104476,Candacia curta,
FALSE,104478,Candacia ethiopica,
FALSE,104479,Candacia giesbrechti,
FALSE,104481,Candacia longimana,
FALSE,104483,Candacia pachydactyla,
FALSE,104485,Candacia tenuimana,
FALSE,104486,Candacia varicans,
FALSE,104491,Centropages bradyi,
FALSE,104494,Centropages chierchiae,
