AphiaID,Taxon,ZooHabitat
1,Biota,
2,Animalia,NYA
2,Animalia_Radiolaria,
3,Plantae,
5,Protozoa,
7,Chromista,
11,Ciliophora,
12,Biota incertae sedis,
25,Choanoflagellida,
51,Mollusca,Ambiguous
101,Gastropoda larva,Ambiguous
164,Gymnosomata,Holoplankton
143,Velutinidae ,NYA
1065,Arthropoda,Holoplankton
793,Platyhelminthes,NYA
1069,Branchiopoda,Holoplankton
801,Chlorophyta,
802,Chlorophyceae,
824,Ulotrichales,
1076,Cladocera,Holoplankton
1078,Ostracoda,Holoplankton
913,Spionidae,NYA
914,Magelonidae,NYA
922,Arenicolidae,NYA
939,Polynoidae,NYA
948,Syllidae,NYA
958,Tomopteridae,NYA
975,Oweniidae,NYA
979,Sabellariidae,NYA
1080,Copepoda C1-6,Holoplankton
1066,Crustacea,NYA
1100,Calanoida C1-6,Holoplankton
1071,Malacostraca,Ambiguous
1101,Cyclopoida,Holoplankton
1102,Harpacticoida,Holoplankton
1104,Siphonostomatoida,Holoplankton
1106,Monstrilloida,Holoplankton
1128,Euphausiacea Total,Holoplankton
1205,Hyperiidea,Holoplankton
1248,Ctenophora,Holoplankton
1249,Tentaculata,Holoplankton
1302,Pycnogonida,Holoplankton
1371,Siphonophora,Holoplankton
1103,Poecilostomatoida,NYA
2081,Chaetognatha,Holoplankton
2824,Mysidacea,Holoplankton
5953,Sagittidae juvenile,Holoplankton
13703,Thecosomata,Holoplankton
1131,Isopoda,Ambiguous
1135,Amphipoda,Ambiguous
1137,Cumacea,Ambiguous
1195,Bopyridae,NYA
14260,Rotifera,Holoplankton
1207,Gammaridea,Ambiguous
15177,Spadellidae,Holoplankton
17446,Larvacea,Holoplankton
1267,Cnidaria,Ambiguous
1268,Sipuncula,NYA
1271,Entoprocta,NYA
22626,Thaliacea,Holoplankton
23020,Euthecosomata,Holoplankton
1337,Medusae,Ambiguous
1358,Pantopoda,NYA
1361,Ceriantharia,NYA
101417,Hyperiidae,Holoplankton
1410,Foraminifera,
1484,Halacaridae,NYA
1594,Bougainvilliidae,NYA
101796,Hyperia,Holoplankton
101800,Themisto,Holoplankton
1795,Gymnolaemata,NYA
103357,Appendicularia,Holoplankton
103358,Fritillaria,Holoplankton
1820,Enteropneusta,NYA
103367,Oikopleura,Holoplankton
103407,Oikopleura (Vexillaria) dioica,Holoplankton
2036,Oligochaeta,NYA
104075,Aetideidae,Holoplankton
104082,Clausocalanidae,Holoplankton
104086,Euchaetidae,Holoplankton
8012,Euglena,
