aphiaID,scientificName,LifeformCategory
11,Ciliophora,Other
25,Choanoflagellida,Other
51,Mollusca,Other
55,Polyplacophora,Undefined
58,Lepidopleurida,Undefined
64,Chitonidae,Undefined
91,Acanthochitonidae,Undefined
101,Gastropoda,Other
105,Bivalvia,Meroplankton
119,Littorinidae,Undefined
120,Hydrobiidae,Undefined
123,Rissoidae,Undefined
126,Caecidae,Undefined
128,Cerithiidae,Undefined
135,Eulimidae,Undefined
141,Calyptraeidae,Undefined
146,Neogastropoda,Undefined
154,Cephalaspidea,Undefined
172,Aplysiidae,Undefined
200,Dentaliida,Undefined
202,Dentaliidae,Undefined
204,Nuculidae,Undefined
205,Nuculanidae,Undefined
207,Arcida,Undefined
208,Arcidae,Undefined
211,Mytilidae,Undefined
213,Pectinidae,Undefined
214,Anomiidae,Undefined
215,Ostreidae,Undefined
220,Ungulinidae,Undefined
229,Cardiidae,Undefined
230,Mactridae,Undefined
235,Tellinidae,Undefined
241,Arcticidae,Undefined
243,Veneridae,Undefined
245,Myida,Undefined
247,Myidae,Undefined
248,Corbulidae,Undefined
250,Gastrochaenidae,Undefined
251,Hiatellidae,Undefined
252,Pholadidae,Undefined
253,Teredinidae,Undefined
415,Monoplacophora,Undefined
447,Stylommatophora,Undefined
558,Porifera,Undefined
559,Calcarea,Undefined
793,Platyhelminthes,Other
794,Turbellaria,Undefined
798,Monogenea,Undefined
799,Nematoda,Meroplankton
801,Chlorophyta,Other
802,Chlorophyceae,Other
808,Bryopsidales,Undefined
813,Cladophorales,Undefined
820,Prasiolales,Undefined
824,Ulotrichales,Other
827,Ulvales,Undefined
830,Phaeophyceae,Undefined
839,Dictyotales,Undefined
842,Ectocarpales,Undefined
844,Fucales,Undefined
845,Laminariales,Undefined
852,Rhodophyta,Undefined
857,Bangiales,Undefined
860,Ceramiales,Undefined
871,Gigartinales,Undefined
876,Gracilariales,Undefined
878,Palmariales,Undefined
882,Annelida,Meroplankton
883,Polychaeta,Meroplankton
889,Spionida,Undefined
890,Capitellida,Undefined
892,Phyllodocida,Undefined
895,Eunicida,Undefined
900,Terebellida,Undefined
901,Sabellida,Undefined
902,Orbiniidae,Undefined
903,Paraonidae,Undefined
904,Questidae,Undefined
905,Ctenodrilidae,Undefined
913,Spionidae,Other
915,Trochochaetidae,Undefined
916,Poecilochaetidae,Undefined
918,Chaetopteridae,Undefined
919,Cirratulidae,Undefined
921,Capitellidae,Undefined
922,Arenicolidae,Other
923,Maldanidae,Undefined
924,Opheliidae,Undefined
925,Scalibregmatidae,Undefined
931,Phyllodocidae,Undefined
933,Lopadorrhynchidae,Undefined
938,Aphroditidae,Undefined
939,Polynoidae,Other
943,Sigalionidae,Undefined
944,Chrysopetalidae,Undefined
946,Hesionidae,Undefined
948,Syllidae,Other
952,Glyceridae,Undefined
953,Goniadidae,Undefined
956,Nephtyidae,Undefined
958,Tomopteridae,Other
959,Typhloscolecidae,Undefined
961,Euphrosinidae,Undefined
965,Onuphidae,Undefined
966,Eunicidae,Undefined
967,Lumbrineridae,Undefined
971,Dorvilleidae,Undefined
975,Oweniidae,Other
976,Flabelligeridae,Undefined
979,Sabellariidae,Other
980,Pectinariidae,Undefined
981,Ampharetidae,Undefined
982,Terebellidae,Undefined
985,Sabellidae,Undefined
988,Serpulidae,Undefined
992,Nerillidae,Undefined
993,Polygordiidae,Undefined
1028,Sphacelariales,Undefined
1051,Cestoda,Undefined
1065,Arthropoda,Holoplankton
1069,Branchiopoda,Holoplankton
1071,Malacostraca,Other
1078,Ostracoda,Holoplankton
1080,Copepoda,Holoplankton
1091,Podocopida,Undefined
1100,Calanoida,Holoplankton
1101,Cyclopoida,Holoplankton
1102,Harpacticoida,Holoplankton
1103,Poecilostomatoida,Other
1104,Siphonostomatoida,Holoplankton
1106,Monstrilloida,Holoplankton
1128,Euphausiacea,Holoplankton
1130,Decapoda,Meroplankton
1131,Isopoda,Other
1135,Amphipoda,Other
1195,Bopyridae,Other
1248,Ctenophora,Holoplankton
1249,Tentaculata,Holoplankton
1250,Nuda,Undefined
1251,Cydippida,Undefined
1261,Beroida,Undefined
1267,Cnidaria,Other
1271,Entoprocta,Other
1276,Tardigrada,Undefined
1292,Anthozoa,Meroplankton
1294,Enopla,Undefined
1300,Arachnida,Undefined
1302,Pycnogonida,Holoplankton
1304,Chilopoda,Undefined
1305,Diplopoda,Undefined
1307,Insecta,Undefined
1317,Arcellinida,Undefined
1327,Hartmannellidae,Undefined
1328,Flabellulidae,Undefined
1329,Paramoebidae,Undefined
1330,Acanthamoebidae,Undefined
1337,Hydrozoa,Other
1348,Spirotrichea,Undefined
1358,Pantopoda,Other
1360,Actiniaria,Undefined
1361,Ceriantharia,Other
1362,Corallimorpharia,Undefined
1363,Scleractinia,Undefined
1365,Alcyonacea,Undefined
1370,Limnomedusae,Undefined
1371,Siphonophorae,Holoplankton
1385,Golfingiida,Undefined
1403,Heterotrichida,Undefined
1407,Leptomyxida,Undefined
1410,Foraminifera,Other
1484,Halacaridae,Other
1594,Bougainvilliidae,Other
1598,Corymorphidae,Undefined
1599,Corynidae,Undefined
1601,Hydractiniidae,Undefined
1603,Tubulariidae,Undefined
1605,Aglaopheniidae,Undefined
1606,Campanulariidae,Meroplankton
1608,Haleciidae,Undefined
1610,Laodiceidae,Undefined
1612,Phialellidae,Undefined
1613,Plumulariidae,Undefined
1614,Sertulariidae,Undefined
1644,Aspidosiphonidae,Undefined
1645,Phascolosomatidae,Undefined
1647,Phascolionidae,Undefined
1648,Sipunculidae,Undefined
1692,Folliculinidae,Undefined
1703,Strombidiidae,Undefined
1705,Leptomyxidae,Undefined
1755,Pleurobranchidae,Undefined
1761,Discodorididae,Undefined
1762,Nudibranchia,Undefined
1771,Otinidae,Undefined
1776,Pinnidae,Undefined
1777,Limida,Undefined
1778,Limidae,Undefined
1781,Semelidae,Undefined
1782,Scrobiculariidae,Undefined
1789,Phoronida,Meroplankton
1794,Stenolaemata,Undefined
1795,Gymnolaemata,Other
1803,Brachiopoda,Undefined
1806,Echinodermata,Meroplankton
1818,Hemichordata,Meroplankton
1819,Pterobranchia,Undefined
1820,Enteropneusta,Other
2018,Harrimaniidae,Undefined
2019,Ptychoderidae,Undefined
2032,Golfingiidae,Undefined
2038,Enchytraeidae,Undefined
2039,Naididae,Undefined
2078,Gastrotricha,Undefined
2081,Chaetognatha,Holoplankton
2088,Chaetodermatida,Undefined
2094,Solenogastres,Undefined
2118,Haplotaxida,Undefined
2138,Chromadorida,Undefined
2139,Monhysterida,Undefined
2140,Dorylaimida,Undefined
2141,Enoplida,Undefined
2143,Rhabditida,Undefined
2162,Chromadoridae,Undefined
2166,Selachinematidae,Undefined
2167,Desmodoridae,Undefined
2168,Draconematidae,Undefined
2171,Microlaimidae,Undefined
2173,Desmoscolecidae,Undefined
2178,Leptolaimidae,Undefined
2184,Axonolaimidae,Undefined
2185,Comesomatidae,Undefined
2188,Monhysteridae,Undefined
2189,Sphaerolaimidae,Undefined
2190,Xyalidae,Undefined
2195,Anticomidae,Undefined
2196,Enoplidae,Undefined
2197,Phanodermatidae,Undefined
2198,Thoracostomopsidae,Undefined
2200,Leptosomatidae,Undefined
2201,Oxystominidae,Undefined
2204,Oncholaimidae,Undefined
2209,Tripyloididae,Undefined
2211,Trefusiidae,Undefined
2213,Rhabditidae,Undefined
2294,Chromadorita,Undefined
2301,Ptycholaimellus,Undefined
2369,Desmoscolex,Undefined
2407,Leptolaimus,Undefined
2418,Odontophora,Undefined
2433,Sabatieria,Undefined
2445,Diplolaimelloides,Undefined
2447,Monhystera,Undefined
2455,Daptonema,Undefined
2469,Theristus,Undefined
2474,Desmolaimus,Undefined
2494,Astomonema,Undefined
2510,Phanoderma,Undefined
2512,Enoploides,Undefined
2517,Mesacanthion,Undefined
2526,Syringolaimus,Undefined
2548,Halalaimus,Undefined
2551,Oxystomina,Undefined
2564,Symplocostoma,Undefined
2581,Pontonema,Undefined
2586,Bathylaimus,Undefined
2592,Rhabdocoma,Undefined
2593,Trefusia,Undefined
2596,Chromadorina,Undefined
2847,Acoela,Undefined
2848,Nemertodermatida,Undefined
2849,Catenulida,Undefined
2851,Macrostomida,Undefined
2853,Polycladida,Undefined
2854,Prolecithophora,Undefined
5949,Sagittoidea,Undefined
5950,Aphragmophora,Undefined
5951,Phragmophora,Undefined
5953,Sagittidae,Holoplankton
5955,Eukrohniidae,Undefined
6072,Noetiidae,Undefined
7173,Lottiidae,Undefined
8012,Euglena,Other
8038,Petalomonas,Undefined
10527,Lyonsiidae,Undefined
11707,Cephalopoda,Meroplankton
13551,Anthoathecata,Meroplankton
13552,Leptothecata,Meroplankton
13574,Cavibelonia,Undefined
13704,Limacinidae,Undefined
14165,Clitellata,Undefined
14227,Rhopaluridae,Undefined
14260,Rotifera,Holoplankton
14262,Gnathostomulida,Undefined
14355,Stomatopoda,Meroplankton
14435,Simrothiellidae,Undefined
14665,Mitrocomidae,Undefined
15241,Rhodymeniales,Undefined
15308,Corallinales,Undefined
15324,Porphyridiales,Undefined
15378,Eirenidae,Undefined
16236,Rhabdocoela,Undefined
16349,Narcomedusae,Undefined
16350,Trachymedusae,Other
16842,Rhopalonematidae,Undefined
16843,Geryoniidae,Undefined
16845,Cuninidae,Undefined
17330,Pyramimonadales,Undefined
17616,Cafeteriaceae,Undefined
17639,Cryptophyceae,Other
17640,Cryptomonadales,Other
17641,Hemiselmidaceae,Undefined
17644,Cryptomonadaceae,Other
17651,Leucocryptos,Other
17654,Eutreptiales,Undefined
17662,Mamiellales,Undefined
17663,Mamiellaceae,Undefined
17666,Chlorodendrales,Other
17667,Chlorodendraceae,Undefined
17788,Astasiaceae,Undefined
17793,Xanthophyceae,Other
17903,Monogononta,Undefined
17904,Ploima,Undefined
17931,Flosculariaceae,Undefined
17968,Bdelloidea,Undefined
